Ref,Mid X,Mid Y,Rotation,Side
R142,35.536,-172.19,0,top
R143,21.058,-174.73,180,top
R144,35.536,-174.73,0,top
R145,21.058,-178.413,180,top
R146,35.536,-178.413,0,top
R147,21.058,-180.953,180,top
R148,35.536,-180.953,0,top
R149,21.058,-183.493,180,top
R150,35.536,-183.493,0,top
R151,21.058,-186.033,180,top
R152,35.536,-186.033,0,top
R153,21.058,-189.843,180,top
R154,35.536,-189.843,0,top
R155,21.058,-192.383,180,top
R156,35.536,-192.383,0,top
R157,21.058,-194.923,180,top
R158,35.536,-194.923,0,top
R159,21.058,-197.463,180,top
R160,35.536,-197.463,0,top
R161,117.848,-166.094,180,top
SW3,46.273,-198.31,0,top
SW4,52.823,-166.81,0,top
U1,129.611,-179.005,0,top
U2,76.99,-177.7746,0,top
U3,62.323,-200.125,0,top
U4,26.018713,-218.69,90,top
U5,50.693,-218.69,90,top
U6,12.958,-218.69,90,top
U7,17.566571,-218.69,90,top
U8,61.88923,-218.694,90,top
U9,72.9367,-218.694,90,top
U10,83.98417,-218.694,90,top
U11,95.03164,-218.694,90,top
U12,106.07911,-218.694,90,top
U13,117.12658,-218.694,90,top
U14,128.17405,-218.694,90,top
U15,139.22152,-218.694,90,top
U16,150.269,-218.694,90,top
U17,87.2876,-134.212,90,top
U18,64.0788,-134.212,90,top
U19,52.3644,-134.212,-90,top
U20,75.6832,-134.212,90,top
U21,98.782,-134.212,-90,top
U30,22.175142,-218.69,90,top
U31,43.188,-218.69,90,top
U32,30.127284,-218.69,90,top
U33,34.735855,-218.69,90,top
U34,39.344426,-218.69,90,top
U37,28.805,-163.554,180,top
U38,121.44,-127.994,0,top
U40,108.147,-159.972,0,top
U41,121.44,-123.104,0,top
U42,33.0976,-134.2424,-90,top
U43,143.862,-161.027,90,top
U45,143.892,-146.627,90,top
U47,40.87,-134.212,-90,top
U48,28.782,-171.555,0,top
U49,28.857,-182.858,0,top
U50,28.857,-194.288,0,top
U51,114.276,-138.982,0,top
X2,57.198,-114.786,90,top
Y1,53.062,-186.998,90,top
